stock,Price at Start,Price at End,Percentage Change
PTCIL.NS,3070.149902,4518.850098,47.19
DIXON.NS,3275.649902,4326.200195,32.07
FORCEMOT.NS,1376.75,2322.5,68.69
IWEL.NS,1326.75,2112.5,59.22
ANGELONE.NS,1206.75,1622.449951,34.45
HEG.NS,1170.300049,1556.5,33
CENTUM.NS,813.7999878,1232.050049,51.39
MAZDOCK.NS,770.4000244,1173.050049,52.27
LGBBROSLTD.NS,793.2000122,1040.099976,31.13
NUCLEUS.NS,636.7999878,1027.75,61.39
JBMA.NS,752.25,1008.099976,34.01
TANLA.NS,719.7999878,1000.599976,39.01
AURIONPRO.NS,754.25,986.0999756,30.74
OLECTRA.NS,678.9500122,920.8499756,35.63
GKWLIMITED.NS,528.8499756,887.1500244,67.75
GRWRHITECH.NS,641.3499756,867.4000244,35.25
BECTORFOOD.NS,649.75,850.4000244,30.88
WHEELS.NS,584.2999878,772.2000122,32.16
KPIGREEN.NS,541.8499756,758.5999756,40
TALBROAUTO.NS,522.0999756,723.0999756,38.5
ISGEC.NS,492.6000061,670.2999878,36.07
LODHA.NS,494.7000122,651.5999756,31.72
DSSL.NS,382.75,515.2000122,34.6
TITAGARH.NS,338.25,469.6000061,38.83
JITFINFRA.NS,162.3500061,467.2999878,187.83
SUBROS.NS,325.6000061,467.0499878,43.44
GREENLAM.NS,308.6000061,440.8500061,42.85
FACT.NS,305.2999878,415.6499939,36.14
RSYSTEMS.NS,252.3999939,404.8500061,60.4
ZOTA.NS,275.7999878,363.1499939,31.67
SIGMA.NS,249,349.8500061,40.5
HITECHGEAR.NS,253.8000031,346.2999878,36.45
UTTAMSUGAR.NS,255.3999939,343.1000061,34.34
CSLFINANCE.NS,201.4499969,329.9500122,63.79
MAANALU.NS,185.4499969,326.3999939,76
SANDHAR.NS,239.1000061,314.7999878,31.66
DYCL.NS,188.8500061,314.5,66.53
SAKSOFT.NS,221.75,310.5499878,40.05
RAMRAT.NS,197.6999969,306.2999878,54.93
REPCOHOME.NS,228.25,302.7000122,32.62
HIRECT.NS,219.3500061,285.0499878,29.95
DCXINDIA.NS,193.5,262.1499939,35.48
JAYBARMARU.NS,165.5500031,259.7999878,56.93
VENUSREM.NS,127.8499985,249.6999969,95.31
SCHNEIDER.NS,189.1999969,248.6499939,31.42
GEEKAYWIRE.NS,165.6499939,236.1000061,42.53
DBL.NS,167.1000061,233.1499939,39.53
WOCKPHARMA.NS,168.1499939,228.8500061,36.1
JAYAGROGN.NS,169,221.75,31.21
TIPSINDLTD.NS,166.8999939,220.75,32.26
SKMEGGPROD.NS,166.8999939,218.0500031,30.65
IZMO.NS,159.6999969,216.0500031,35.28
WELENT.NS,149.8999939,202.6999969,35.22
INDIANHUME.NS,146.6000061,195.6000061,33.42
SGIL.NS,144.9499969,193.8500061,33.74
NRBBEARING.NS,135.1000061,180.6000061,33.68
SERVOTECH.NS,88.90000153,172.6499939,94.21
SKIPPER.NS,122.1999969,165.1499939,35.15
INOXWIND.NS,112.0999985,151.8999939,35.5
DEVIT.NS,113.9499969,149.75,31.42
HBLPOWER.NS,109.75,146.0500031,33.08
MAHAPEXLTD.NS,103.5,139.5500031,34.83
HPL.NS,94.59999847,133.6499939,41.28
MUNJALSHOW.NS,99.25,133.3500061,34.36
V2RETAIL.NS,78.75,125.4499969,59.3
TIMETECHNO.NS,85.80000305,119.0999985,38.81
PFOCUS.NS,77.94999695,103.75,33.1
RICOAUTO.NS,79.55000305,103.3499985,29.92
TEXRAIL.NS,54.70000076,75.75,38.48
INTLCONV.NS,53.65000153,70.94999695,32.25
KEERTI.NS,41.75,69.5,66.47
RAJRILTD.NS,46.90000153,67.75,44.46
THOMASCOTT.NS,42.84999847,64.5,50.53
UMAEXPORTS.NS,43.45000076,58.95000076,35.67
SIGIND.NS,37.04999924,50.70000076,36.84
S&SPOWER.NS,26.95000076,50.29999924,86.64
APOLLO.NS,33.79999924,50.20000076,48.52
VIRINCHI.NS,34.5,50.04999924,45.07
TERASOFT.NS,37.95000076,50.04999924,31.88
NAGREEKEXP.NS,35.54999924,49.70000076,39.8
HARDWYN.NS,28.33499908,42.59999847,50.34
AMBICAAGAR.NS,24.35000038,36.5,49.9
BCG.NS,16.25,31.39999962,93.23
OILCOUNTUB.NS,14.60000038,26.79999924,83.56
PENINLAND.NS,17.95000076,25.20000076,40.39
JHS.NS,17.39999962,23.04999924,32.47
DGCONTENT.NS,15.05000019,19.79999924,31.56
SEPOWER.NS,13.35000038,18.5,38.58
ALOKINDS.NS,12.94999981,17.54999924,35.52
TANTIACONS.NS,9.800000191,16.04999924,63.78
HINDNATGLS.NS,10,14,40
EUROTEXIND.NS,10.25,14,36.59
SUZLON.NS,9.449999809,13.85000038,46.56
ESSARSHPNG.NS,8.75,11.60000038,32.57
INDSWFTLTD.NS,8.050000191,11.14999962,38.51
KAVVERITEL.NS,4.900000095,8.25,68.37
GANGAFORGE.NS,3.650000095,5.75,57.53
RTNPOWER.NS,3.150000095,4.699999809,49.21
ROLLT.NS,1.049999952,1.399999976,33.33
BLUECHIP.NS,0.300000012,0.649999976,116.67
