Date,Open,High,Low,Close,Adj Close,Volume,Stock Name, Turnover ,Year,Month,Week,Day,
3/23/2023,68.1,69.4,66.6,68.8,68.8,112790,20MICRONS.NS,7759952,2023,Mar,13,Thu,
3/24/2023,68.7,69.2,66.6,66.65,66.65,67909,20MICRONS.NS,4526135,2023,Mar,13,Fri,
3/27/2023,67.05,67.2,63.85,64.2,64.2,94089,20MICRONS.NS,6040514,2023,Mar,14,Mon,
3/28/2023,65,68.4,63.05,64.7,64.7,187381,20MICRONS.NS,12123550,2023,Mar,14,Tue,
3/29/2023,64.75,66.95,64.3,65.85,65.85,99700,20MICRONS.NS,6565245,2023,Mar,14,Wed,
3/31/2023,71,79,71,74.3,74.3,617891,20MICRONS.NS,45909303,2023,Mar,14,Fri,0.135935397
4/3/2023,75,80.5,73.15,78.6,78.6,460403,20MICRONS.NS,36187675,2023,Apr,15,Mon,
4/5/2023,79.5,79.5,77,78.2,78.2,124009,20MICRONS.NS,9697503,2023,Apr,15,Wed,
4/6/2023,78.7,80.5,77.5,79.65,79.65,107652,20MICRONS.NS,8574482,2023,Apr,15,Thu,0.013182674
4/10/2023,79.65,82,78.9,80.85,80.85,86160,20MICRONS.NS,6966036,2023,Apr,16,Mon,
4/11/2023,81,85.7,81,83.9,83.9,199204,20MICRONS.NS,16713216,2023,Apr,16,Tue,
4/12/2023,84,85.5,82.1,83,83,92315,20MICRONS.NS,7662145,2023,Apr,16,Wed,
4/13/2023,82.5,83.35,82.15,82.85,82.85,36248,20MICRONS.NS,3003147,2023,Apr,16,Thu,
4/17/2023,82.5,82.6,80.45,82,82,63176,20MICRONS.NS,5180432,2023,Apr,17,Mon,
4/18/2023,81.5,84.25,81.5,82.5,82.5,61918,20MICRONS.NS,5108235,2023,Apr,17,Tue,
4/19/2023,82.5,83.5,81.2,82.25,82.25,43597,20MICRONS.NS,3585853,2023,Apr,17,Wed,
4/20/2023,82.85,85.5,82.1,83.8,83.8,83218,20MICRONS.NS,6973669,2023,Apr,17,Thu,
4/21/2023,82.55,85.3,82.55,83.8,83.8,70010,20MICRONS.NS,5866838,2023,Apr,17,Fri,
4/24/2023,83,86,83,84.4,84.4,65375,20MICRONS.NS,5517650,2023,Apr,18,Mon,
4/25/2023,85.25,85.3,82.5,83.7,83.7,70754,20MICRONS.NS,5922110,2023,Apr,18,Tue,
4/26/2023,83.95,85.5,79.2,80.05,80.05,197501,20MICRONS.NS,15809956,2023,Apr,18,Wed,
4/27/2023,80.7,83.35,80.65,82.75,82.75,46951,20MICRONS.NS,3885195,2023,Apr,18,Thu,
4/28/2023,83.6,84.6,82.6,83.55,83.55,55895,20MICRONS.NS,4670027,2023,Apr,18,Fri,
