Date,Open,High,Low,Close,Adj Close,Volume
5/19/2023,951.450012,956,941.599976,954.299988,954.299988,15427412
5/22/2023,951.049988,954.25,946.150024,950.349976,950.349976,15509525
5/23/2023,952,958.849976,945,953.400024,953.400024,16579935
5/24/2023,946.700012,953.849976,938.5,940.650024,940.650024,18049620
5/25/2023,937,941.599976,932.950012,939.849976,939.849976,19328582
5/26/2023,939.799988,952.450012,935.549988,950.700012,950.700012,10957182
5/29/2023,953.849976,957.599976,946.799988,948.150024,948.150024,12108079
5/30/2023,945.349976,952.299988,944.650024,949.950012,949.950012,18483624
5/31/2023,949.5,952,940.5,949.150024,949.150024,27254425
6/1/2023,954.25,954.25,932.799988,936.099976,936.099976,21650700
6/2/2023,943,944.650024,935.049988,938.150024,938.150024,12494376
6/5/2023,943,951.799988,943,946.75,946.75,10751684
6/6/2023,946.5,947.799988,938.099976,942.099976,942.099976,11894330
6/7/2023,944.349976,945.849976,933.799988,940.200012,940.200012,16486469
6/8/2023,936.599976,950.5,935.200012,937.900024,937.900024,17608140
6/9/2023,941.400024,944,936.200012,938.049988,938.049988,12253128
